earthquakeData/_id,earthquakeData/earthquake_id,earthquakeData/provider,earthquakeData/title,earthquakeData/date,earthquakeData/mag,earthquakeData/depth,earthquakeData/geojson/type,earthquakeData/geojson/coordinates/0,earthquakeData/geojson/coordinates/1,earthquakeData/location_properties/closestCity/name,earthquakeData/location_properties/closestCity/cityCode,earthquakeData/location_properties/closestCity/distance,earthquakeData/location_properties/closestCity/population,earthquakeData/location_properties/epiCenter/name,earthquakeData/location_properties/epiCenter/cityCode,earthquakeData/location_properties/epiCenter/population,earthquakeData/location_properties/closestCities/0/name,earthquakeData/location_properties/closestCities/0/cityCode,earthquakeData/location_properties/closestCities/0/distance,earthquakeData/location_properties/closestCities/0/population,earthquakeData/location_properties/closestCities/0/_id,earthquakeData/location_properties/closestCities/1/name,earthquakeData/location_properties/closestCities/1/cityCode,earthquakeData/location_properties/closestCities/1/distance,earthquakeData/location_properties/closestCities/1/population,earthquakeData/location_properties/closestCities/1/_id,earthquakeData/location_properties/closestCities/2/name,earthquakeData/location_properties/closestCities/2/cityCode,earthquakeData/location_properties/closestCities/2/distance,earthquakeData/location_properties/closestCities/2/population,earthquakeData/location_properties/closestCities/2/_id,earthquakeData/location_properties/closestCities/3/name,earthquakeData/location_properties/closestCities/3/cityCode,earthquakeData/location_properties/closestCities/3/distance,earthquakeData/location_properties/closestCities/3/population,earthquakeData/location_properties/closestCities/3/_id,earthquakeData/location_properties/closestCities/4/name,earthquakeData/location_properties/closestCities/4/cityCode,earthquakeData/location_properties/closestCities/4/distance,earthquakeData/location_properties/closestCities/4/population,earthquakeData/location_properties/closestCities/4/_id,earthquakeData/__v
65186aa29bd79ef648675c50,FTJEKwztQcNyY,kandilli,AKDENIZ,2023-09-30T11:17:18.000Z,2.2,18.3,Point,28.5918,35.8557,Muğla,48,121883.65247108256,1048185,Akdeniz Açıkları (Türkiye - Yunanistan),-1,,Muğla,48,121883.65247108256,1048185,65186aa29bd79ef648675c51,Denizli,20,211030.0285293648,1056332,65186aa29bd79ef648675c52,Aydın,9,214914.04353445012,1148241,65186aa29bd79ef648675c53,Burdur,15,219293.12875368944,273799,65186aa29bd79ef648675c54,Antalya,7,243268.53899138622,2688004,65186aa29bd79ef648675c55,0
65186aa29bd79ef648675c57,feQy5kGIa8i9D,kandilli,GIRIT ADASI (AKDENIZ),2023-09-30T11:08:58.000Z,3,16.3,Point,23.4315,34.4852,Yunanistan,30,418461.3942247678,275333,Akdeniz Açıkları (Türkiye - Yunanistan),-1,,Yunanistan,30,418461.3942247678,275333,65186aa29bd79ef648675c58,Muğla,48,527418.2298031762,1048185,65186aa29bd79ef648675c59,Aydın,9,541264.6708211334,1148241,65186aa29bd79ef648675c5a,İzmir,35,574313.6849664194,4462056,65186aa29bd79ef648675c5b,Manisa,45,630459.9444758031,1468279,65186aa29bd79ef648675c5c,0
65186aa39bd79ef648675c5e,k4Hsup_GPgb9R,kandilli,AKDENIZ,2023-09-30T10:48:21.000Z,1.7,12.3,Point,28.8243,36.0715,Muğla,48,103253.02401893768,1048185,Akdeniz Açıkları (Türkiye),-1,,Muğla,48,103253.02401893768,1048185,65186aa39bd79ef648675c5f,Denizli,20,182387.58381216656,1056332,65186aa39bd79ef648675c60,Burdur,15,187479.4699499221,273799,65186aa39bd79ef648675c61,Aydın,9,199126.81300850035,1148241,65186aa39bd79ef648675c62,Antalya,7,213848.58584287987,2688004,65186aa39bd79ef648675c63,0
65186aa39bd79ef648675c65,ygELTioeWqCTC,kandilli,AGCASAR-NURHAK (KAHRAMANMARAS),2023-09-30T10:35:48.000Z,1.9,7.8,Point,37.391,38.0865,Malatya,44,80368.66410683503,812580,Kahramanmaraş,46,1177436,Malatya,44,80368.66410683503,812580,65186aa39bd79ef648675c66,Adıyaman,2,87660.99574510714,635169,65186aa39bd79ef648675c67,Gaziantep,27,110370.48683569668,2154051,65186aa39bd79ef648675c68,Osmaniye,80,130291.20234883027,559405,65186aa39bd79ef648675c69,Kayseri,38,140333.43618142058,1441523,65186aa39bd79ef648675c6a,0
65186aa39bd79ef648675c6c,o55CwMZ0pMNUB,kandilli,KIBRIS-LEFKOSA,2023-09-30T09:59:18.000Z,2.4,6.1,Point,33.4018,35.0403,Mersin,33,188942.13532531605,1916432,Kıbrıs,82,888000,Mersin,33,188942.13532531605,1916432,65186aa39bd79ef648675c6d,Karaman,70,220200.53646622988,260838,65186aa39bd79ef648675c6e,Lübnan,961,260540.16838698759,,65186aa39bd79ef648675c6f,Antalya,7,295530.29325666546,2688004,65186aa39bd79ef648675c70,Hatay,31,298821.52321030287,1686043,65186aa39bd79ef648675c71,0
65186aa39bd79ef648675c73,n5MFFNsp0PKcy,kandilli,YUNANISTAN,2023-09-30T09:23:35.000Z,2.6,13.2,Point,24.135,37.8672,Yunanistan,30,45147.85131749249,275333,Ege Denizi,-1,,Yunanistan,30,45147.85131749249,275333,65186aa39bd79ef648675c74,İzmir,35,291054.25573762873,4462056,65186aa39bd79ef648675c75,Çanakkale,17,330716.641320977,559383,65186aa39bd79ef648675c76,Aydın,9,334672.5788815352,1148241,65186aa39bd79ef648675c77,Manisa,45,358130.60080013244,1468279,65186aa39bd79ef648675c78,0
65186aa49bd79ef648675c7a,oP14Pa6QxB0u1,kandilli,SOGUKPINAR-GOKSUN (KAHRAMANMARAS),2023-09-30T09:07:06.000Z,2.1,5,Point,36.4227,38.049,Kayseri,38,75884.24222128557,1441523,Kahramanmaraş,46,1177436,Kayseri,38,75884.24222128557,1441523,65186aa49bd79ef648675c7b,Osmaniye,80,83841.33492454383,559405,65186aa49bd79ef648675c7c,Adana,1,91868.97455083387,2274106,65186aa49bd79ef648675c7d,Gaziantep,27,128067.58500108945,2154051,65186aa49bd79ef648675c7e,Niğde,51,150335.04632833108,365419,65186aa49bd79ef648675c7f,0
65186aa49bd79ef648675c81,jT8JLW9azjDCw,kandilli,ACIELMA-GOKSUN (KAHRAMANMARAS),2023-09-30T09:03:28.000Z,2.5,5,Point,36.4087,38.0148,Kayseri,38,78380.58501701363,1441523,Kahramanmaraş,46,1177436,Kayseri,38,78380.58501701363,1441523,65186aa49bd79ef648675c82,Osmaniye,80,79907.77275359089,559405,65186aa49bd79ef648675c83,Adana,1,88465.95759368474,2274106,65186aa49bd79ef648675c84,Gaziantep,27,125685.72515877475,2154051,65186aa49bd79ef648675c85,Kilis,79,148215.79253693487,147919,65186aa49bd79ef648675c86,0
65186aa49bd79ef648675c88,BaCeAmgjPQIxx,kandilli,KIBRIS-LEFKOSA,2023-09-30T09:00:36.000Z,2.8,2.9,Point,33.3773,35.0408,Mersin,33,189338.08660304843,1916432,Kıbrıs,82,888000,Mersin,33,189338.08660304843,1916432,65186aa49bd79ef648675c89,Karaman,70,220088.7301091767,260838,65186aa49bd79ef648675c8a,Lübnan,961,262515.0344499207,,65186aa49bd79ef648675c8b,Antalya,7,293886.92706030916,2688004,65186aa49bd79ef648675c8c,Hatay,31,300691.842361675,1686043,65186aa49bd79ef648675c8d,0
65186aa49bd79ef648675c8f,dMzz_Mluz0S6i,kandilli,YENIKOY-(OSMANIYE),2023-09-30T08:56:38.000Z,2.8,7.4,Point,36.1565,37.1305,Adana,1,61691.52076379466,2274106,Osmaniye,80,559405,Adana,1,61691.52076379466,2274106,65186aa49bd79ef648675c90,Hatay,31,79321.09891596087,1686043,65186aa49bd79ef648675c91,Kilis,79,94492.42474906484,147919,65186aa49bd79ef648675c92,Gaziantep,27,96755.23306043366,2154051,65186aa49bd79ef648675c93,Kahramanmaraş,46,114510.82872400279,1177436,65186aa49bd79ef648675c94,0
